Name,Band,rotation,pitch,Chiralty,arms,SFR100,SFR_FUV,SFR_AVG,M
NGC4450,r,22.0352061731372,31.3208398842537,CW,2,0.53,,0.33,10.7
NGC4501,g,21.4564745599228,33.6132343863033,CCW,3,5.79,3.16,3.93,11.1
NGC4501,i,3.22642874367006,19.9305047021944,CCW,4,5.79,3.16,3.93,11.1
NGC4501,r,-14.5688132326964,17.8057624859483,CCW,3,5.79,3.16,3.93,11.1
NGC4450,g,20.299011333494,41.8515271280444,CW,2,0.53,,0.33,10.7
NGC4535,g,66.3081745840366,26.0196775982638,CCW,2,2.86,2.85,3.08,10.6
NGC4535,i,66.0188087774294,35.1176182782734,CCW,2,2.86,2.85,3.08,10.6
NGC4535,r,63.4145165179647,30.1030053050398,CCW,2,2.86,2.85,3.08,10.6
NGC4535,u,59.6527610320713,30.0313679768507,CCW,2,2.86,2.85,3.08,10.6
NGC4535,z,60.8102242585001,46.1497668193875,CCW,2,2.86,2.85,3.08,10.6
NGC4536,g,40.2652519893899,19.7155927176272,CW,4,3.4,4.51,4.52,10.4
NGC4571,g,-40.7571738606222,13.2682331806125,CW,3,0.75,,,10.1
NGC4689,g,25.5075958524234,40.8486045333976,CW,3,1.23,,0.64,10.1
NGC4713,i,-62.4596093561611,66.8529546660236,CCW,2,0.91,0.97,1.08,9.6
NGC4713,r,-48.8594164456234,27.8822481311792,CCW,2,0.91,0.97,1.08,9.6
NGC4713,g,-72.8767783940198,42.782812394502,CCW,2,0.91,0.97,1.08,9.6
NGC4197,i,81.6445623342174,51.8091157463226,CW,2,1.38,,,9.9
NGC4197,r,68.6231010368941,48.6570733060043,CW,2,1.38,,,9.9
NGC4197,u,52.997347480106,49.0152599469496,CW,2,1.38,,,9.9
NGC4197,z,-131.039305522064,47.3676013986014,CW,1,1.38,,,9.9
NGC4197,g,64.2826139377863,57.1819153605016,CW,2,1.38,,,9.9
NGC4212,g,20.7692307692308,12.5340625,CCW,2,2.14,1.07,1.08,10.4
NGC4212,i,-27.2596153846154,16.4975096153846,CCW,2,2.14,1.07,1.08,10.4
NGC4212,r,-41.9711538461538,17.8900721153846,CCW,2,2.14,1.07,1.08,10.4
NGC4212,u,-30.2884615384615,19.1755144230769,CCW,2,2.14,1.07,1.08,10.4
NGC4212,z,130.240384615385,24.1030432692308,CCW,2,2.14,1.07,1.08,10.4
NGC4276,g,-16.0096153846154,19.2826346153846,CCW,4,0.71,0.22,0.22,10.2
NGC4276,i,68.7980769230769,19.6039951923077,CCW,4,0.71,0.22,0.22,10.2
NGC4276,r,-17.3076923076923,18.3185528846154,CCW,4,0.71,0.22,0.22,10.2
NGC4303,g,18.2967032967032,12.9778461538462,CW,3,5.14,6.63,7.4,10.6
NGC4303,r,81.3461538461539,13.2839038461538,CW,2,5.14,6.63,7.4,10.6
NGC4394,g,-0.865384615384585,8.54945584045584,CW,2,0.52,,,10.4
NGC4394,i,-0.432692307692321,7.82077403846154,CW,2,0.52,,,10.4
NGC4394,r,21.0861569762892,8.28641450817748,CW,2,0.52,,,10.4
NGC4394,u,60.3206300098438,7.17002376599634,CW,2,0.52,,,10.4
NGC4394,z,-49.8789108980192,9.94456099951004,CW,1,0.52,,,10.4
NGC4411A,g,61.875,18.2114326923077,CCW,2,0.18,,,9.7
NGC4411A,i,0,22.4962403846154,CCW,2,0.18,,,9.7
NGC4411A,r,9.95192307692309,23.1389615384615,CCW,2,0.18,,,9.7
NGC4412,g,3.46153846153845,8.14213461538461,CW,2,2.37,0.57,0.55,10.3
NGC4412,i,4.75961538461542,21.3179182692308,CW,2,2.37,0.57,0.55,10.3
NGC4412,r,-1.73076923076923,26.1383269230769,CW,2,2.37,0.57,0.55,10.3
NGC4412,u,14.0940101395756,21.8901266195155,CW,2,2.37,0.57,0.55,10.3
NGC4412,z,6.49038461538464,20.1395961538462,CW,2,2.37,0.57,0.55,10.3
NGC4416,g,-13.4134615384615,19.496875,CCW,4,1.84,0.21,0.18,10.3
NGC4416,i,78.1122189069208,16.8126882322975,CCW,4,1.84,0.21,0.18,10.3
NGC4416,r,0,14.0646276074069,CCW,4,1.84,0.21,0.18,10.3
NGC4430,g,-16.9549621363093,20.710163810283,CCW,2,0.73,0.53,0.52,9.9
NGC4178,g,-61.0096153846154,25.7098461538462,CW,2,0.56,0.84,0.85,9.7
NGC4206,g,106.442307692308,13.7123846153846,CCW,2,0.46,0.2,0.23,9.8
NGC4237,g,60.3000592222149,15.5655914325196,CCW,4,1.54,0.41,0.33,10.2
NGC4237,i,-27.9819761828131,15.0318902478275,CCW,4,1.54,0.41,0.33,10.2
NGC4237,r,68.7352806239485,14.9663084569506,CCW,4,1.54,0.41,0.33,10.2
NGC4237,u,59.7362637362637,15.5405692307692,CCW,4,1.54,0.41,0.33,10.2
NGC4321,u,94.3269230769231,13.4981442307692,CCW,2,5.63,5.35,6.08,10.9
NGC4321,r,59.0283400809716,13.4145600539811,CCW,2,5.63,5.35,6.08,10.9
NGC4390,g,5.59125449940007,21.6493039594721,CCW,1,0.58,0.37,0.35,9.5
NGC4390,i,-2.14834718490283,22.2555462725739,CCW,1,0.58,0.37,0.35,9.5
NGC4390,r,0,20.7618111633125,CCW,1,0.58,0.37,0.35,9.5
NGC4390,u,-4.75961538461536,22.7104807692308,CCW,1,0.58,0.37,0.35,9.5
NGC4411B,g,62.6593865424763,45.9059905251325,CW,1,0.44,0.4,0.32,9.7
NGC4411B,i,57.1299288946347,27.3085475113122,CW,2,0.44,0.4,0.32,9.7
NGC4411B,r,61.9352076494934,26.8895594405594,CW,2,0.44,0.4,0.32,9.7
